"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"echy","Chubby Taiwanese Cuisine","台灣菜","4.7","(65)","Hong Kong"
"s3ul","Braza Churrascaria Brazilian Steakhouse","32分鐘","4.7","(62)","Hong Kong"
"r7gr","Five Guys (Central)","漢堡","4.4","(2000+)","Hong Kong"
"ucgx","The Demon Celebrity","粵菜","4","(5)","Hong Kong"
"v2xv","Carat Fine Indian Cuisine","印度菜","4.5","(89)","Hong Kong"
"v4jg","1935 Restaurant","中式","4.3","(100+)","Hong Kong"
"lvwp","Pieology Pizzeria","薄餅","1.7","(37)","Hong Kong"
"yacf","Kiku","日式","3.7","(39)","Hong Kong"
"hr3p","Liukoushui Chongqing Noodles (Central)","中式","5","(1)","Hong Kong"
"ehfz","Veggie4Love","國際佳餚","4.8","(8)","Hong Kong"
"b0ir","Top Blade Steak Lab VS PPPP","漢堡","3.8","(73)","Hong Kong"
"w5hu","Nunu (Central)","日式","4.2","(500+)","Hong Kong"
"v1iw","Café Crêpe (Central)","60分鐘","4.5","(100+)","Hong Kong"
"q0xi","Pret A Manger (Landmark)","西式","4.5","(500+)","Hong Kong"
"msg7","Emerald","國際佳餚","4.8","(96)","Hong Kong"
"dtpg","Sushi Raku (Central)","壽司","4.8","(83)","Hong Kong"
"i1gz","Biryani King (Lan Kwai Fong)","印度菜","4.6","(100+)","Hong Kong"
"zbg4","Quiero Más Restaurant and Bar","西班牙菜","2.9","(2)","Hong Kong"
"y145","Orka Restaurant & Specialty Cafe","西式","4.6","(49)","Hong Kong"
"s9wx","Grill ขุนทอง (Central)","泰國菜","4.6","(1000+)","Hong Kong"
"x1ye","CIAK In The Kitchen (Central)","意大利菜","4.4","(62)","Hong Kong"
"dc9v","Good Luck LKF","泰國菜","3.8","(64)","Hong Kong"
"s0ad","Hungry Korean (Central)","Korean","4.2","(5000+)","Hong Kong"
"zu9j","Espuma (Wellington Place)","西班牙菜","3.7","(2)","Hong Kong"
"evy9","Dragon Barbecue Bar","串燒","4.3","(73)","Hong Kong"
"x6ha","Ramen Cubism (Central)","Japanese","4.4","(100+)","Hong Kong"
"s4wj","Jashan","Curry","4.3","(500+)","Hong Kong"
"pee4","Four Bites (IFC)","Chinese","4.5","(100+)","Hong Kong"
"s5rv","Home.Dumpling (Central)","Dumpling","4.6","(500+)","Hong Kong"
"suhf","New York Cut","Burgers","3.9","(6)","Hong Kong"
"j1cd","JOA (Central)","Korean","3.9","(30)","Hong Kong"
"ufig","Bombay Dreams (Central)","Indian","4.6","(50)","Hong Kong"
"fq1p","Royal Italian","Pizza","4.7","(13)","Hong Kong"
"ujqd","Yang Guo Fu Mala Tang","Chinese","4.2","(75)","Hong Kong"
"s7lr","Ding Dim 1968","Dim Sum ","4.4","(2000+)","Hong Kong"
"w0vq","Shahrazad Lebanese Dining Lounge & Bar","Middle Eastern","4.9","(23)","Hong Kong"
"rm5k","Chuan Yue Lou","Chinese","4.6","(100+)","Hong Kong"
"jk3f","Prime Chow (Central)","Cha Chaan Teng","4.5","(73)","Hong Kong"
"v1cf","Pastis French Bistro","French","3.6","(49)","Hong Kong"
"l9ny","Kiki Noodle Bar (IFC Mall)","Taiwanese","3.5","(22)","Hong Kong"
"u8ha","JJJ Korean Steakhouse & Bar","Korean","4","(17)","Hong Kong"
"rmy7","Ma Labo (Central)","Hong Kong","4.2","(70)","Hong Kong"
"d0ug","Majesty Chinese Restaurant (Central)","Cantonese","4.1","(100+)","Hong Kong"
"s7ii","Shanghai Min (Central)","Shanghainese","4.2","(1000+)","Hong Kong"
"zbw8","Hay Dim (Central)","Dim Sum ","4","(38)","Hong Kong"
"d906","TIKI by SaladStop! (Exchange Square)","Healthy","5","(34)","Hong Kong"
"a8im","Jab Jab","Rice Bowl","4.8","(40)","Hong Kong"
"oy5y","Homurice (Central)","Japanese","4.2","(81)","Hong Kong"
"v1bt","Maxim's MX (CGCC)","Fast Food","4.5","(500+)","Hong Kong"
"djl8","Le Jardin","-180 min","3.5","(5)","Hong Kong"
"poxo","Attap (Central)","Hainan chicken","4.4","(63)","Hong Kong"
"miqf","Chew Taiwan (Central Market)","Taiwanese","3.6","(100+)","Hong Kong"
"h6ag","Five Dragon Congee & Noodle Restaurant","Cha Chaan Teng","4.2","(100+)","Hong Kong"
"i6bj","Uoya Zen","Japanese","4.6","(79)","Hong Kong"
"tell","Cheeky Buns (Central)","Burgers","4.4","(100+)","Hong Kong"
"jrrd","Tai Thai Restaurant","Thai","3.8","(40)","Hong Kong"
"rel2","Cha Chaan Teng","Cha Chaan Teng","4.5","(29)","Hong Kong"
"cuvf","PaPa Gomes 2.0","Western","4.9","(14)","Hong Kong"
"e62d","Yo Mama Frozen Yogurt (IFC)","Hong Kong","4.9","(9)","Hong Kong"
"x3tr","Ser Wong Fun","Hong Kong","4.1","(100+)","Hong Kong"
"w2hp","Wingman (Central)","Western","4.3","(1000+)","Hong Kong"
"v5ta","Hungry Dino","Japanese","4.8","(100+)","Hong Kong"
"bmkr","Ming Viet PHO (Jubilee Street) [Extended Delivery]","Pho","2.2","(2)","Hong Kong"
"i787","Moonkok_FOCO(Central)","Coffee","4.8","(6)","Hong Kong"
"cr0r","Jiang Nan by Crystal Jade (IFC)","Chinese","4.2","(100+)","Hong Kong"
"v0gv","Viet Tasty","Vietnamese","4.2","(100+)","Hong Kong"
"v4al","Chopsticks Kee","Hong Kong","4","(500+)","Hong Kong"
"sl4o","Sichuan Yuet Delicacy","Sichuan","4.1","(100+)","Hong Kong"
"yahz","Double Chilli (Central Market)","Sichuan","4.3","(100+)","Hong Kong"
"s3cv","Wah Fung (Central)","Hong Kong","4.3","(1000+)","Hong Kong"
"uykx","Bluemin (Central)","Chinese","4.2","(26)","Hong Kong"
"r87n","Wo Shun Kee (Central)","Hong Kong","4.2","(64)","Hong Kong"
"lw9i","Florence Trippa [Extended Delivery]","Italian","4.4","(4)","Hong Kong"
"a9k2","Tommy Yummy (Central)","Thai","4.3","(72)","Hong Kong"
"iu9v","Festival Korean Food","Korean","4","(1)","Hong Kong"
"a3qs","Dumpling Yuan","Dumpling","3.8","(100+)","Hong Kong"
"ex58","Pho Nho (Central)","Pho","4.4","(58)","Hong Kong"
"v3lx","Eat Together (Queen Victoria Street)","Taiwanese","4.5","(500+)","Hong Kong"
"s8jv","Pampas Argentinean Steak House","-175 min","4.8","(52)","Hong Kong"
"pfhc","Flaming Burger","Burgers","5","(1)","Hong Kong"
"vsnc","Kyung Yang Katsu","Korean","4.8","(23)","Hong Kong"
"g4v1","Hung Fat Tea Co. [Extended Delivery]","Chinese","5","(1)","Hong Kong"
"s6gc","Green Waffle Diner (Central)","American","4.7","(500+)","Hong Kong"
"yyqf","Cafe Another","Western","4.5","(100+)","Hong Kong"
"d6ta","Breakfast Cottage","Western","4.9","(24)","Hong Kong"
"w3dl","Wah Kee Restaurant","Hong Kong","4.4","(100+)","Hong Kong"
"s6tr","Bouchon Bistro Francais","French","4.3","(100+)","Hong Kong"
"n3km","Tuk Tuk Thai Restaurant","Thai","4.3","(100+)","Hong Kong"
"wb7m","Flat Iron Steak","Western","4.2","(4)","Hong Kong"
"s3np","La'taste Vietnamese Cuisine (Admiralty)","Vietnamese","4.1","(500+)","Hong Kong"
"v0gx","Liquor Land (HK)","Western","4.9","(100+)","Hong Kong"
"s6hp","Prime Pho","Pho","4.5","(500+)","Hong Kong"
"w8pc","Staunton's Bar & Kitchen","International","4.6","(100+)","Hong Kong"
"w5cx","Ippudo HK (Admiralty)","Ramen","4.2","(500+)","Hong Kong"
"s7jb","Flaming Frango (Soho)","Western","4.4","(1000+)","Hong Kong"
"mhzx","Uncle Miguel","Mexican","4","(19)","Hong Kong"
"ik1o","Align (Central)","Taiwanese","3.8","(26)","Hong Kong"
"s4gm","Sole Mio","Pizza","4.3","(100+)","Hong Kong"
"y9cg","El Cerdo (Central)","Spanish","4.8","(21)","Hong Kong"
"s6us","Social Place (Central)","Chinese","4.6","(1000+)","Hong Kong"
"z0bz","La Pampa Argentinian Steak House","-180 min","2.7","(4)","Hong Kong"
"s7ej","Mostaccioli Brothers - Mo Bros","Italian","4.5","(500+)","Hong Kong"
"l6pt","Sweet Heart Fresh Juice","Hong Kong","3.1","(43)","Hong Kong"
"s3ku","Nepal Nepalese Cuisine","Asian","4.3","(100+)","Hong Kong"
"s7bu","Ming Viet Vietnamese Cuisine (Des Voeux Road)","Pho","4.2","(3000+)","Hong Kong"
"cwld","Local BBQ (Central)","Japanese","4","(1)","Hong Kong"
"uc5x","Lau Bistro","Western","4.7","(100+)","Hong Kong"
"l3cu","Herbal Knife-Cut Noodles","Chinese","4.3","(500+)","Hong Kong"
"yb19","La Camionetta","Pizza","4.4","(500+)","Hong Kong"
"mhn6","Triple O's by White Spot (Admiralty)","Burgers","4.8","(25)","Hong Kong"
"v0vc","Affinity Kitchen (Central)","Singaporean","4.5","(500+)","Hong Kong"
"s7vy","GURU Indian Restaurant","Indian","4.5","(500+)","Hong Kong"
