StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Admin_District
x6ha,Ramen Cubism (Central),Udon,4.9,175,hong kong,"Basement, 27-29 Wellington Street, Central,",Central,Central and Western District
w9yk,Knockbox (Central),Coffee,4.9,114,hong kong,"Shop B, G/F, World Trust Tower, 50 Stanley Street, Central,",Central,Central and Western District
hgxo,Art & Taste,Taiwanese,5.0,44,hong kong,"Shop A, G/F, Carfield Commercial Building, 75-77 Wyndham Street, Central,",Central,Central and Western District
ovb8,U R SO FUNNY (Central),Cha Chaan Teng,4.1,10,hong kong,"19 Li Yuen Street, Central,",Central,Central and Western District
v4jg,1935 Restaurant,Chinese,4.9,110,hong kong,"19/F, M88, Wellington Place, 2-8 Wellington Street, Central,",Central,Central and Western District
pee4,Four Bites (IFC),Chinese,4.9,190,hong kong,"Shop 2012, 2/F, ifc mall, 8 Finance Street, Central,",Central,Central and Western District
d9ab,Potion House (Jardine House),Hong Kong,4.9,35,hong kong,"Shop 5 & 7, LG/F, Jardine House, 1 Connaught Place, Central,",Central,Central and Western District
o865,bibigo bapsang,Korean,4.6,20,hong kong,"Shop B, G/F & C/L, Merlin Building, 32-34 Cochrane Street, Central,",Central,Central and Western District
g95p,Li Bao House,Cantonese,3.5,11,hong kong,"4/F, Century Square, 1-13 D'Aguilar Street, Central,",Central,Central and Western District
w0vq,Shahrazad Lebanese Dining Lounge & Bar,Middle Eastern,5.0,39,hong kong,"2/F, Carfield Commercial Building, 75-77 Wyndham Street, Central,",Central,Central and Western District
jbwq,bb.q Chicken,Korean,4.9,72,hong kong,"Shop 1, M/F & Shop 1-3, G/F, Yue Shing Commercial Building, 15 Queen Victoria Street, Central,",Central,Central and Western District
z1ov,House of Orient,Dim Sum ,5.0,10,hong kong,"Shop C & D, 2/F, Entertainment Building, 30 Queen's Road Central, Central,",Central,Central and Western District
uykx,Bluemin (Central),Chinese,4.4,36,hong kong,"Shops 201-204, 2/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
s4zk,Kyo Watami (Central),Japanese,4.8,555,hong kong,"Shop 213, 2/F, Man Yee Building, 60-68 Des Voeux Road Central, Central,",Central,Central and Western District
mffk,can.teen (Century Square),Hong Kong,4.8,498,hong kong,"Shop A, UG/F, Century Square, 1-3 D'Aguilar Street, Central,",Central,Central and Western District
s6nc,XTC Gelato (Central),Italian,4.9,324,hong kong,"Shop B, G/F, Cheung Fai Building, 45-47 Cochrane Street, Central,",Central,Central and Western District
x0kl,Man Man Canteen,Rice Bowl,4.9,1473,hong kong,"B/F & G/F, Peter Building, 58-62 Queen's Road Central, Central,",Central,Central and Western District
dc9v,Good Luck LKF,Thai,4.7,68,hong kong,"Shop 16, G/F, Block B, Winner Building, 16 Wing Wah Lane, Central,",Central,Central and Western District
w2in,Cafe Landmark,Western,5.0,151,hong kong,"Shop 107-108, 1/F, Landmark Atrium, 15 Queen's Road Central, Central,",Central,Central and Western District
i111,LINLEE (Central),Bubble Tea,5.0,36,hong kong,"Shop H, G/F, Lyndhurst Building, 23 Lyndhurst Terrace, Central,",Central,Central and Western District
x1dy,Tealosophy Tea Bar,Japanese,4.5,19,hong kong,"G/F & 1/F (Portion A), Win Hing House, 38 Wyndham Street, Central,",Central,Central and Western District
s9wf,Yummy,Hong Kong,4.9,243,hong kong,"G/F, Melbourne Plaza, 10 Chiu Lung Street, Central,",Central,Central and Western District
m9pv,Chickpea (Central),Middle Eastern,4.9,2912,hong kong,"Shop 3, G/F, Union Commercial Building, 12-16 Lyndhurst Terrace, Central,",Central,Central and Western District
cqv7,Homebake (Central),Western,4.9,107,hong kong,"Shop B, G/F, Melbourne Plaza, 33 Queen's Road Central, Central,",Central,Central and Western District
s1wm,Nam Kee Spring Roll Noodle Co Ltd (Central),Rice Noodles,5.0,6356,hong kong,"G/F, Kai Tak Commercial Building, 66-72 Stanley Street, Central,",Central,Central and Western District
c0da,Croque (Central),Western,4.8,24,hong kong,"G/F, 1 Lyndhurst Tower, 78 Wellington Street, Central,",Central,Central and Western District
xrpi,iiUncles (Central),Thai,4.7,47,hong kong,"Shop 5A, UG/F, Cheung Fai Building, 45-47 Cochrane Street, Central,",Central,Central and Western District
ufig,Bombay Dreams (Central),Indian,4.9,125,hong kong,"1/F, Winning Centre, 46 Wyndham Street, Central,",Central,Central and Western District
fq1p,Royal Italian,Pizza,4.8,56,hong kong,"1/F, 7 Li Yuen Street West, Central,",Central,Central and Western District
v2gx,TP Tea (Central Flagship Shop),Bubble Tea,4.9,1592,hong kong,"Shop C1, G/F, World-wide House, 19 Des Voeux Road Central, Central,",Central,Central and Western District
w8py,Tram View Cafe,Western,4.2,12,hong kong,"Flat A, G/F, 2 Tramway Path, Central,",Central,Central and Western District
w5jv,The China Bar (Central),Western,5.0,36,hong kong,"Shop C, G/F, Ho Lee Commercial Building, 38-44 D'Aguilar Street, Central,",Central,Central and Western District
ujqd,Yang Guo Fu Mala Tang,Chinese,4.7,180,hong kong,"Shop G04 & G06, G/F, Nexxus Building, 41 Connaught Road Central, Central,",Central,Central and Western District
rm5k,Chuan Yue Lou,Chinese,5.0,333,hong kong,"7/F, Coda Plaza, 51 Garden Road, Mid-Levels,",Mid-Levels,Central and Western District
w6tp,Nijuuichi Don (Central),Japanese,4.8,806,hong kong,"G/F, 33 Stanley Street, Central,",Central,Central and Western District
y145,Orka Restaurant & Specialty Cafe,Western,4.9,52,hong kong,"G/F, Win Hing House, 36 Wyndham Street, Central,",Central,Central and Western District
x1wb,Banh Mi Kitchen (Central),Vietnamese,4.9,853,hong kong,"Shop 5, G/F, Prosperity Tower, 39 Queen's Road Central, Central,",Central,Central and Western District
d4sq,Maan6,Hong Kong,5.0,903,hong kong,"Shop 7, G/F, Prosperity Tower, 39 Queen's Road Central, Central,",Central,Central and Western District
s4wj,Jashan,Curry,4.9,1139,hong kong,"1/F, Amber Lodge, 23 Hollywood Road, Central,",Central,Central and Western District
s3ul,Braza Churrascaria Brazilian Steakhouse,,4.9,91,hong kong,"3/F, Grand Progress Building, 15-16 Lan Kwai Fong, Central,",Central,Central and Western District
w4bz,Ramen Bari-Uma (Central),Ramen,4.9,117,hong kong,"G/F, 22 D'Aguilar Street, Central,",Central,Central and Western District
r7gr,Five Guys (Central),Burgers,4.9,3138,hong kong,"B/F & G/F, Manning House, 48 Queen's Road Central, Central,",Central,Central and Western District
w8sc,Tim Ho Wan Dim Sum Restaurant (Central),Dim Sum ,4.9,5023,hong kong,"Shop 12B, L1/F, Hong Kong MTR Station, Central,",Central,Central and Western District
cuvf,PaPa Gomes 2.0,Western,5.0,30,hong kong,"Shop 1, G/F, Amber Lodge, 23 Hollywood Road, Central,",Central,Central and Western District
e62d,Yo Mama Frozen Yogurt (IFC),Dessert,5.0,32,hong kong,"Shop 3098A, Podium 3/F, IFC Mall, 8 Finance Street, Central,",Central,Central and Western District
mya5,Chart Coffee (Central Market),Coffee,5.0,217,hong kong,"Shop 218, 2/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
v6ab,DiVino Wine Bar & Restaurant,Italian,4.9,36,hong kong,"G/F, Winsome House, 73 Wyndham Street, Central,",Central,Central and Western District
ehfz,Veggie4Love,International,4.9,31,hong kong,"10/F, Stanley 11, 11 Stanley Street, Central,",Central,Central and Western District
b0ir,Top Blade Steak Lab VS PPPP,Burgers,5.0,88,hong kong,"Shop 11, G/F, Stanley, 11 Stanley Street, Central,",Central,Central and Western District
s7lr,Ding Dim 1968,Dim Sum ,4.9,2138,hong kong,"Shop A, G/F, Sunny Building, 59 Wyndham Street, Central,",Central,Central and Western District
jk3f,Japanese Style Seasoned Rice,Japanese,4.8,191,hong kong,"Shop A, G/F, World Trust Tower, 50 Stanley Street, Central,",Central,Central and Western District
s3cv,Wah Fung (Central),Hong Kong,4.8,1318,hong kong,"Shop A, B & E, G/F, Hung Kei Mansion, 5-8 Queen Victoria Street, Central,",Central,Central and Western District
w4zn,Peking Garden Restaurant (Alexandra House),Beijing,5.0,33,hong kong,"Shop B1 at B1/F & B2/F, Alexandra House, 16-20 Chater Road, Central,",Central,Central and Western District
w8rn,SPIGA,Pizza,2.1,41,hong kong,"3/F, LHT Tower, 31 Queen's Road Central, Central,",Central,Central and Western District
yn4s,Onefood Rice Roll (Central),Hong Kong,4.9,529,hong kong,"Shop 6, G/F, Prosperity Tower, 39 Queen's Road Central, Central,",Central,Central and Western District
aogv,Toasted Deli,International,4.9,130,hong kong,"G/F, 4 Li Yuen Street East, Central,",Central,Central and Western District
l0jf,Trois Cafe (Central Building),International,5.0,550,hong kong,"Shop 109, 1/F, Central Building, 1-3 Pedder Street, Central,",Central,Central and Western District
s9wx,Grill ขุนทอง (Central),Thai,4.9,1691,hong kong,"G/F, Tak Woo House, 17-19 D'Aguilar Street, Central,",Central,Central and Western District
s2ae,Zenon Cafe,Western,4.1,105,hong kong,"G/F, Tung Chai Building, 86 Wellington Street, Central,",Central,Central and Western District
a3qs,Dumpling Yuan,Dumpling,4.5,482,hong kong,"Shop 1, G/F, Jade Centre, 98 Wellington Street, Central,",Central,Central and Western District
